City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
309,Novoagansk,RU,61.9449,76.6625,59.45,69,63,10.87,broken clouds
310,Lotofaga,WS,-13.9764,-171.8578,85.78,68,3,16.2,clear sky
311,Kirakira,SB,-10.4544,161.9205,84.43,69,100,9.42,overcast clouds
312,Concepcion,CL,-36.827,-73.0498,51.6,87,40,5.75,scattered clouds
313,Kahului,US,20.8947,-156.47,87.82,48,20,23.02,few clouds
314,Cape Coast,GH,5.1053,-1.2466,74.44,89,25,13.82,scattered clouds
315,Salalah,OM,17.0151,54.0924,77.09,94,100,8.05,light intensity drizzle
316,Bereda,ES,43.2686,-7.5406,56.57,100,21,0.98,few clouds
317,Stratonion,GR,40.5141,23.8247,76.21,56,0,3.65,clear sky
318,Dwarka,IN,22.2394,68.9678,81.88,78,91,9.62,overcast clouds
319,Beirut,LB,33.8889,35.4944,83.37,78,20,1.14,few clouds
320,Tessalit,ML,20.1986,1.0114,94.03,20,64,10.22,broken clouds
321,San Luis,AR,-33.295,-66.3356,45.34,87,98,9.28,overcast clouds
322,Vitim,RU,59.4511,112.5578,77.76,70,96,0.43,overcast clouds
323,Sokoni,TZ,-6.4333,39.55,75.02,79,52,15.17,light rain
324,Upernavik,GL,72.7868,-56.1549,40.19,85,100,1.74,overcast clouds
325,Faya,SA,18.3851,42.4509,64.51,65,100,5.01,overcast clouds
326,Ahipara,NZ,-35.1667,173.1667,57.87,87,66,16.62,broken clouds
327,Paranga,RU,56.7039,49.4047,55.96,81,35,4.76,scattered clouds
328,Batemans Bay,AU,-35.7167,150.1833,57.09,46,22,5.12,few clouds
329,Olinda,BR,-8.0089,-34.8553,73.13,83,100,5.75,overcast clouds
330,Sechura,PE,-5.5569,-80.8222,63.97,81,6,17.25,clear sky
331,Tautira,PF,-17.7333,-149.15,76.98,79,42,26.33,light rain
332,Carndonagh,IE,55.25,-7.2667,52.5,87,100,3.42,overcast clouds
333,Cranbrook,CA,49.4999,-115.7688,93.04,20,20,6.91,few clouds
334,Cururupu,BR,-1.8283,-44.8683,73.96,88,31,2.26,scattered clouds
335,Manado,ID,1.487,124.8455,88.57,66,40,3.44,scattered clouds
336,Kamakwie,SL,9.5,-12.2333,70.97,99,74,3.33,broken clouds
337,Bengkulu,ID,-3.8004,102.2655,81.18,72,47,1.7,scattered clouds
338,Khislavichi,RU,54.1871,32.1582,59.88,94,99,5.28,overcast clouds
339,Acarau,BR,-2.8856,-40.12,79.07,77,100,14.9,overcast clouds
